=== Heap Fragmentation Log ===
Date/Time: 2026-01-17 12:10:14
Timestamp: 389699 ms
Current Heap: free=70192, largestBlock=23540 (33.5%), freeBlocks=20
Baseline: largestBlock=233460 (set 388593 ms ago)
Degradation: 209920 bytes (89.9% loss from baseline)

=== Recent Operations (last 300) ===
[  389114] DartsRankingMod:448  | DartsRankingModule::processData | heap= 71208, largest= 23540 (33.1%)
[  389114] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 71208, largest= 23540 (33.1%)
[  389114] CalendarModule.:112  | CalendarModule::processData    | heap= 71208, largest= 23540 (33.1%)
[  389115] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 71208, largest= 23540 (33.1%)
[  389115] WeatherModule.c:204  | WeatherModule::processData     | heap= 71208, largest= 23540 (33.1%)
[  389115] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 71208, largest= 23540 (33.1%)
[  389294] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 71208, largest= 23540 (33.1%)
[  389294] WebClientModule:346  | WebClient::accessResource      | heap= 70676, largest= 23540 (33.3%)
[  389295] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 71208, largest= 23540 (33.1%)
[  389295] WebClientModule:346  | WebClient::accessResource      | heap= 71160, largest= 23540 (33.1%)
[  389295] WebClientModule:346  | WebClient::accessResource      | heap= 71144, largest= 23540 (33.1%)
[  389295] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 71208, largest= 23540 (33.1%)
[  389295] WebClientModule:346  | WebClient::accessResource      | heap= 71128, largest= 23540 (33.1%)
[  389296] WebClientModule:346  | WebClient::accessResource      | heap= 71112, largest= 23540 (33.1%)
[  389296] CalendarModule.:94   | CalendarModule::queueData      | heap= 71208, largest= 23540 (33.1%)
[  389297] WebClientModule:346  | WebClient::accessResource      | heap= 71032, largest= 23540 (33.1%)
[  389297] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 71208, largest= 23540 (33.1%)
[  389297] WebClientModule:346  | WebClient::accessResource      | heap= 71128, largest= 23540 (33.1%)
[  389297] WeatherModule.c:138  | WeatherModule::queueData       | heap= 71208, largest= 23540 (33.1%)
[  389298] WebClientModule:346  | WebClient::accessResource      | heap= 70532, largest= 23540 (33.4%)
[  389298] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 71208, largest= 23540 (33.1%)
[  389300] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 71208, largest= 23540 (33.1%)
[  389300] DartsRankingMod:448  | DartsRankingModule::processData | heap= 71208, largest= 23540 (33.1%)
