=== Heap Fragmentation Log ===
Date/Time: 2026-01-17 12:04:12
Timestamp: 27497 ms
Current Heap: free=77920, largestBlock=35828 (46.0%), freeBlocks=13
Baseline: largestBlock=233460 (set 26391 ms ago)
Degradation: 197632 bytes (84.7% loss from baseline)

=== Recent Operations (last 300) ===
[   27249] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 78984, largest= 35828 (45.4%)
[   27249] WebClientModule:346  | WebClient::accessResource      | heap= 78904, largest= 35828 (45.4%)
[   27249] WebClientModule:346  | WebClient::accessResource      | heap= 78888, largest= 35828 (45.4%)
[   27250] CalendarModule.:94   | CalendarModule::queueData      | heap= 78984, largest= 35828 (45.4%)
[   27250] WebClientModule:346  | WebClient::accessResource      | heap= 78808, largest= 35828 (45.5%)
[   27250] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 78984, largest= 35828 (45.4%)
[   27251] WebClientModule:346  | WebClient::accessResource      | heap= 78904, largest= 35828 (45.4%)
[   27251] WeatherModule.c:138  | WeatherModule::queueData       | heap= 78984, largest= 35828 (45.4%)
[   27251] WebClientModule:346  | WebClient::accessResource      | heap= 78308, largest= 35828 (45.8%)
[   27251] WebClientModule:346  | WebClient::accessResource      | heap= 78792, largest= 35828 (45.5%)
[   27252] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 78984, largest= 35828 (45.4%)
[   27253] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 78984, largest= 35828 (45.4%)
[   27253] DartsRankingMod:448  | DartsRankingModule::processData | heap= 78984, largest= 35828 (45.4%)
[   27253] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 78984, largest= 35828 (45.4%)
[   27254] CalendarModule.:112  | CalendarModule::processData    | heap= 78984, largest= 35828 (45.4%)
[   27254] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 78984, largest= 35828 (45.4%)
[   27254] WeatherModule.c:204  | WeatherModule::processData     | heap= 78984, largest= 35828 (45.4%)
[   27254] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 78984, largest= 35828 (45.4%)
[   27298] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 78984, largest= 35828 (45.4%)
[   27299] WebClientModule:346  | WebClient::accessResource      | heap= 78452, largest= 35828 (45.7%)
[   27299] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 78984, largest= 35828 (45.4%)
[   27299] WebClientModule:346  | WebClient::accessResource      | heap= 78936, largest= 35828 (45.4%)
[   27299] WebClientModule:346  | WebClient::accessResource      | heap= 78920, largest= 35828 (45.4%)
[   27300] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 78984, largest= 35828 (45.4%)
[   27300] WebClientModule:346  | WebClient::accessResource      | heap= 78904, largest= 35828 (45.4%)
[   27301] WebClientModule:346  | WebClient::accessResource      | heap= 78888, largest= 35828 (45.4%)
[   27301] CalendarModule.:94   | CalendarModule::queueData      | heap= 78984, largest= 35828 (45.4%)
[   27301] WebClientModule:346  | WebClient::accessResource      | heap= 78808, largest= 35828 (45.5%)
